Feature,Mean_SHAP,Pos_SHAP,Neg_SHAP,Abs_SHAP
NP1COG,-0.21274735,0.29210424,-0.50485116,0.7969549
MCATOT_x,-0.06763084,0.22462577,-0.29225686,0.5168827
ESS1,-0.16852042,0.10323482,-0.27175534,0.3749903
GDSMEMRY,-0.108916126,0.1295907,-0.23850675,0.36809748
NP3LGAGL,-0.11690519,0.090743035,-0.20764813,0.29839122
NP3SPCH,-0.09746341,0.08461279,-0.18207614,0.2666892
NP4OFF,-0.057088107,0.080566086,-0.13765416,0.21822025
NP3HMOVR,-0.051154543,0.06370687,-0.114861324,0.1785682
NP1HALL,-0.03107303,0.06744051,-0.098513536,0.16595405
CLCKNUSP,-0.07487142,0.04031265,-0.11518412,0.15549667
